product_name,price,rating,stock_status,timestamp
,$36.11,N/A,In Stock,2026-08-05T11:26:17.179239
,$37.01,N/A,In Stock,2026-08-05T11:26:17.179388
,$36.11,N/A,In Stock,2026-08-05T11:26:17.179528
,$41.22,N/A,In Stock,2026-08-05T11:26:17.179668
,$36.11,N/A,In Stock,2026-08-05T11:26:17.179810
,$36.11,N/A,In Stock,2026-08-05T11:26:17.179949
,$42.13,N/A,In Stock,2026-08-05T11:26:17.180093
,$34.60,N/A,In Stock,2026-08-05T11:26:17.180243
,$36.11,N/A,In Stock,2026-08-05T11:26:17.180385
,$36.11,N/A,In Stock,2026-08-05T11:26:17.180525
,$37.61,N/A,In Stock,2026-08-05T11:26:17.180651
,$37.61,N/A,In Stock,2026-08-05T11:26:17.180786
,$45.14,N/A,In Stock,2026-08-05T11:26:17.180920
,$37.71,N/A,In Stock,2026-08-05T11:26:17.181056
,$36.11,N/A,In Stock,2026-08-05T11:26:17.181201
,$33.10,N/A,In Stock,2026-08-05T11:26:17.181342
,$35.51,N/A,In Stock,2026-08-05T11:26:17.181478
,$45.14,N/A,In Stock,2026-08-05T11:26:17.181615
,$36.11,N/A,In Stock,2026-08-05T11:26:17.181749
,$36.11,N/A,In Stock,2026-08-05T11:26:17.181883
,$35.81,N/A,In Stock,2026-08-05T11:26:17.182021
,$37.61,N/A,In Stock,2026-08-05T11:26:17.182178
,$40.62,N/A,In Stock,2026-08-05T11:26:17.182322
,$36.11,N/A,In Stock,2026-08-05T11:26:17.182459
,$39.12,N/A,In Stock,2026-08-05T11:26:17.182601
,$36.11,N/A,In Stock,2026-08-05T11:26:17.182741
,$36.11,N/A,In Stock,2026-08-05T11:26:17.182879
,$42.13,N/A,In Stock,2026-08-05T11:26:17.183016
,$36.11,N/A,In Stock,2026-08-05T11:26:17.183162
,$39.12,N/A,In Stock,2026-08-05T11:26:17.183305
,$36.11,N/A,In Stock,2026-08-05T11:26:17.183445
,$37.61,N/A,In Stock,2026-08-05T11:26:17.183581
,$39.12,N/A,In Stock,2026-08-05T11:26:17.183718
,$42.13,N/A,In Stock,2026-08-05T11:26:17.183855
,$40.32,N/A,In Stock,2026-08-05T11:26:17.183991
,$36.11,N/A,In Stock,2026-08-05T11:26:17.184126
,$33.10,N/A,In Stock,2026-08-05T11:26:17.184272
,$39.12,N/A,In Stock,2026-08-05T11:26:17.184411
,$42.13,N/A,In Stock,2026-08-05T11:26:17.184551
,$40.62,N/A,In Stock,2026-08-05T11:26:17.184686
,$42.13,N/A,In Stock,2026-08-05T11:26:17.184823
,$36.11,N/A,In Stock,2026-08-05T11:26:17.184958
,$39.12,N/A,In Stock,2026-08-05T11:26:17.185092
,$39.12,N/A,In Stock,2026-08-05T11:26:17.185238
,$42.13,N/A,In Stock,2026-08-05T11:26:17.185376
,$33.64,N/A,In Stock,2026-08-05T11:26:17.185512
,$36.11,N/A,In Stock,2026-08-05T11:26:17.185648
,$36.11,N/A,In Stock,2026-08-05T11:26:17.185783
,$39.12,N/A,In Stock,2026-08-05T11:26:17.185917
,$37.91,N/A,In Stock,2026-08-05T11:26:17.186056
,$39.12,N/A,In Stock,2026-08-05T11:26:17.186206
,$36.11,N/A,In Stock,2026-08-05T11:26:17.186347
,$36.11,N/A,In Stock,2026-08-05T11:26:17.186485
,$39.12,N/A,In Stock,2026-08-05T11:26:17.186622
,$36.11,N/A,In Stock,2026-08-05T11:26:17.186756
,$36.11,N/A,In Stock,2026-08-05T11:26:17.186885
,$36.11,N/A,In Stock,2026-08-05T11:26:17.187021
,$45.74,N/A,In Stock,2026-08-05T11:26:17.187168
,$36.11,N/A,In Stock,2026-08-05T11:26:17.187307
,$37.61,N/A,In Stock,2026-08-05T11:26:17.187443
,$36.41,N/A,In Stock,2026-08-05T11:26:17.187579
,$51.15,N/A,In Stock,2026-08-05T11:26:17.187715
,$36.14,N/A,In Stock,2026-08-05T11:26:17.187853
,$39.12,N/A,In Stock,2026-08-05T11:26:17.187987
,$37.01,N/A,In Stock,2026-08-05T11:26:17.188123
,$35.21,N/A,In Stock,2026-08-05T11:26:17.188271
,$36.11,N/A,In Stock,2026-08-05T11:26:17.188411
,$36.11,N/A,In Stock,2026-08-05T11:26:17.188550
,$39.12,N/A,In Stock,2026-08-05T11:26:17.188685
,$36.11,N/A,In Stock,2026-08-05T11:26:17.188819
,$36.11,N/A,In Stock,2026-08-05T11:26:17.188954
,$36.08,N/A,In Stock,2026-08-05T11:26:17.189092
,$34.60,N/A,In Stock,2026-08-05T11:26:17.189242
,$36.11,N/A,In Stock,2026-08-05T11:26:17.189381
,$39.12,N/A,In Stock,2026-08-05T11:26:17.189520
,$37.91,N/A,In Stock,2026-08-05T11:26:17.189658
,$39.12,N/A,In Stock,2026-08-05T11:26:17.189796
,$51.15,N/A,In Stock,2026-08-05T11:26:17.189934
,$36.11,N/A,In Stock,2026-08-05T11:26:17.190069
,$36.11,N/A,In Stock,2026-08-05T11:26:17.190215
,$36.11,N/A,In Stock,2026-08-05T11:26:17.190357
,$36.11,N/A,In Stock,2026-08-05T11:26:17.190496
,$39.12,N/A,In Stock,2026-08-05T11:26:17.190635
,$39.12,N/A,In Stock,2026-08-05T11:26:17.190772
,$33.10,N/A,In Stock,2026-08-05T11:26:17.190910
,$39.12,N/A,In Stock,2026-08-05T11:26:17.191043
,$36.11,N/A,In Stock,2026-08-05T11:26:17.191189
,$36.11,N/A,In Stock,2026-08-05T11:26:17.191325
,$39.12,N/A,In Stock,2026-08-05T11:26:17.191462
,$36.11,N/A,In Stock,2026-08-05T11:26:17.191599
,$36.11,N/A,In Stock,2026-08-05T11:26:17.191736
,$36.11,N/A,In Stock,2026-08-05T11:26:17.191871
,$36.11,N/A,In Stock,2026-08-05T11:26:17.192005
,$37.61,N/A,In Stock,2026-08-05T11:26:17.192150
,$35.51,N/A,In Stock,2026-08-05T11:26:17.192293
,$33.10,N/A,In Stock,2026-08-05T11:26:17.192430
,$36.11,N/A,In Stock,2026-08-05T11:26:17.192574
,$37.61,N/A,In Stock,2026-08-05T11:26:17.192712
,$37.61,N/A,In Stock,2026-08-05T11:26:17.192847
,$39.12,N/A,In Stock,2026-08-05T11:26:17.192983
,$35.21,N/A,In Stock,2026-08-05T11:26:17.193121
,$33.10,N/A,In Stock,2026-08-05T11:26:17.193268
,$33.10,N/A,In Stock,2026-08-05T11:26:17.193407
,$51.15,N/A,In Stock,2026-08-05T11:26:17.193545
,$45.13,N/A,In Stock,2026-08-05T11:26:17.193682
,$36.11,N/A,In Stock,2026-08-05T11:26:17.193818
,$36.11,N/A,In Stock,2026-08-05T11:26:17.193956
,$37.61,N/A,In Stock,2026-08-05T11:26:17.194100
,$36.11,N/A,In Stock,2026-08-05T11:26:17.194251
,$36.11,N/A,In Stock,2026-08-05T11:26:17.194392
,$40.92,N/A,In Stock,2026-08-05T11:26:17.194533
,$39.12,N/A,In Stock,2026-08-05T11:26:17.194672
,$36.11,N/A,In Stock,2026-08-05T11:26:17.194811
,$40.62,N/A,In Stock,2026-08-05T11:26:17.194947
,$33.10,N/A,In Stock,2026-08-05T11:26:17.195082
,$36.11,N/A,In Stock,2026-08-05T11:26:17.195229
,$36.11,N/A,In Stock,2026-08-05T11:26:17.195370
,$36.11,N/A,In Stock,2026-08-05T11:26:17.195495
