product_name,price,rating,stock_status,product_url,timestamp
summer night iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/summer-night-by-hellocloudy/55282988/3bp7,2026-08-05T12:03:28.965638
Vintage Pay Phone Sign iPhone Tough Case,$37.01,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Vintage-Pay-Phone-Sign-by-hilda74/44754719/3bp7,2026-08-05T12:03:29.013900
Feline Seabed Exploration iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Feline-Seabed-Exploration-by-TigaTiga/141784052/3bp7,2026-08-05T12:03:29.061156
Gravity by Tobe Fonseca iPhone Tough Case,$41.22,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Gravity-by-Tobe-Fonseca-by-tobiasfonseca/12554179/3bp7,2026-08-05T12:03:29.110626
Sakura blossom in deep blue iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Sakura-blossom-in-deep-blue-by-adenaJ/30843859/3bp7,2026-08-05T12:03:29.156988
Dragons floral in dark jewel tones iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Dragons-floral-in-dark-jewel-tones-by-adenaJ/117623837/3bp7,2026-08-05T12:03:29.203583
Gustav Klimt Flower Garden iPhone Tough Case,$42.13,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Gustav-Klimt-Flower-Garden-by-maniacfitness/157632146/3bp7,2026-08-05T12:03:29.253153
Folk Floral Dinosaur iPhone Tough Case,$34.60,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Folk-Floral-Dinosaur-by-latheandquill/82389650/3bp7,2026-08-05T12:03:29.301199
the original Starwalker iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/the-original-Starwalker-by-castleofjo/99519625/3bp7,2026-08-05T12:03:29.343935
The Purrfect Alien iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/The-Purrfect-Alien-by-TigaTiga/47912356/3bp7,2026-08-05T12:03:29.394952
Vintage Guatemalan Colorful Striped Textile iPhone Tough Case,$37.61,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Vintage-Guatemalan-Colorful-Striped-Textile-by-fineearth/109642277/3bp7,2026-08-05T12:03:29.440223
High And Low // Dark Romantasy Moody Wilderness Dream Forest With Cascadia Trees Covered In Fog iPhone Tough Case,$37.61,N/A,In Stock,https://www.redbubble.com/i/iphone-case/High-And-Low-Dark-Romantasy-Moody-Wilderness-Dream-Forest-With-Cascadia-Trees-Covered-In-Fog-by-tekay/22321474/3bp7,2026-08-05T12:03:29.486712
Chinoiserie jar and pink lilies iPhone Tough Case,$45.14,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Chinoiserie-jar-and-pink-lilies-by-SophieClimaArt/153017545/3bp7,2026-08-05T12:03:29.534858
Claude Monet Water Lilies | Monet Waterlily Cat Prints iPhone Tough Case,$37.71,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Claude-Monet-Water-Lilies-Monet-Waterlily-Cat-Prints-by-Artone369/103823104/3bp7,2026-08-05T12:03:29.577725
