job_title,company,location,salary,posted_time,is_new,job_url,scraped_at
Mid-to-Senior Legislative Staffer,New,"Washington, DC, USA",Not Listed,3 hours ago,True,,2026-09-02T15:52:43.034169
Chief Operating Officer,New,"Washington, DC, USA",Not Listed,21 hours ago,True,,2026-09-02T15:52:43.034296
Special Assistant,New,"Washington, DC",Not Listed,a day ago,True,,2026-09-02T15:52:43.034406
Senior Policy Advisor,"Washington, DC, USA","Washington, DC, USA",Not Listed,"Aug 31, 2026",False,,2026-09-02T15:52:43.034548
Executive Assistant and Operation Manager,"Washington, DC, USA","Washington, DC, USA",Not Listed,"Aug 31, 2026",False,,2026-09-02T15:52:43.034671
"Digital Media Buyer, Public Affairs","Washington, DC, USA","Washington, DC, USA",Not Listed,"Aug 31, 2026",False,,2026-09-02T15:52:43.034801
"Director, Public Policy and Community Relations",New,"Reston, VA",Not Listed,3 hours ago,True,,2026-09-02T15:52:43.035056
Government Relations Lead (Federal),New,"Washington, DC",Not Listed,3 hours ago,True,,2026-09-02T15:52:43.035168
Global Public Policy and Strategy Manager,New,Washington,Not Listed,3 hours ago,True,,2026-09-02T15:52:43.035269
"Director, Federal Government Relations",New,"Washington, DC",Not Listed,3 hours ago,True,,2026-09-02T15:52:43.035369
Senior Public Policy Analyst - Medicaid,New,"Washington, DC",Not Listed,3 hours ago,True,,2026-09-02T15:52:43.035471
Government Relations Intern,New,"Washington, DC",Not Listed,3 hours ago,True,,2026-09-02T15:52:43.035565
"Senior Manager, Federal Government Affairs",New,"Washington, District of Columbia, United States",Not Listed,3 hours ago,True,,2026-09-02T15:52:43.035660
Digital Fellowship,New,"Washington, DC, USA",Not Listed,3 hours ago,True,,2026-09-02T15:52:43.035753
"Manager, Public Policy and US State Strategy",New,"Washington, DC",Not Listed,3 hours ago,True,,2026-09-02T15:52:43.035846
Common Services Clerk and Consular Clerk,New,"Washington, DC",Not Listed,3 hours ago,True,,2026-09-02T15:52:43.035949
District Staff Assistant,New,"Washington, DC, USA",Not Listed,3 hours ago,True,,2026-09-02T15:52:43.036041
Director – Corporate Affairs,New,"Washington, District of Columbia, United States",Not Listed,3 hours ago,True,,2026-09-02T15:52:43.036135
"Project Coordinator, Public Affairs",New,"Washington, DC",Not Listed,3 hours ago,True,,2026-09-02T15:52:43.036237
"Senior Associate, Intelligence Analyst",New,"Washington, DC",Not Listed,3 hours ago,True,,2026-09-02T15:52:43.036327
