address,price_aud,price_usd,bedrooms,bathrooms,timestamp
"2033 Joes Lake Road SE, Cambridge, MN 55008","AUD $443,297","AUD $443,297",3,2,2026-09-07T16:49:15.412895
"1420 College, Marshall, MN 56258","AUD $2,632,076","AUD $2,632,076",N/A,N/A,2026-09-07T16:49:15.412978
"1813 1st Avenue, Anoka, MN 55303","AUD $394,811","AUD $394,811",3,1,2026-09-07T16:49:15.413049
"3705 Shore Drive N, Wayzata, MN 55391","AUD $7,965,492","AUD $7,965,492",4,6,2026-09-07T16:49:15.413117
"6164 Colfax Lane S, Minneapolis, MN 55419","AUD $519,489","AUD $519,489",3,1,2026-09-07T16:49:15.413184
"17413 Major Avenue, Hutchinson, MN 55350","AUD $623,248","AUD $623,248",2,3,2026-09-07T16:49:15.413252
"6831 State 34 NW, Akeley, MN 56433","AUD $103,898","AUD $103,898",N/A,N/A,2026-09-07T16:49:15.413323
"614 Doran Drive, Madison Lake, MN 56063","AUD $484,718","AUD $484,718",2,1,2026-09-07T16:49:15.413391
"326 Stroll Ave, Duluth, MN 55811","AUD $401,599","AUD $401,599",3,2,2026-09-07T16:49:15.413485
"614 Doran Drive, Madison Lake, MN 56063","AUD $484,718","AUD $484,718",2,1,2026-09-07T16:49:15.413556
"23612 Crocus Street NW, Saint Francis, MN 55070","AUD $484,856","AUD $484,856",2,2,2026-09-07T16:49:15.413624
"7333 Bolton Way, Inver Grove Heights, MN 55076","AUD $436,370","AUD $436,370",2,2,2026-09-07T16:49:15.413692
"322 3rd Avenue SE, Pelican Rapids, MN 56572","AUD $373,893","AUD $373,893",4,4,2026-09-07T16:49:15.413760
"2212 Mary Hills Drive, Golden Valley, MN 55422","AUD $997,418","AUD $997,418",5,3,2026-09-07T16:49:15.413828
"4631 London Rd, Duluth, MN 55804","AUD $623,248","AUD $623,248",4,3,2026-09-07T16:49:15.413895
"1701 Madison Street NE 404, Minneapolis, MN 55413","AUD $663,560","AUD $663,560",2,2,2026-09-07T16:49:15.413963
"4227 Nicollet Avenue, Minneapolis, MN 55409","AUD $131,604","AUD $131,604",N/A,1,2026-09-07T16:49:15.414039
"10806 S Shore Drive 103, Plymouth, MN 55441","AUD $344,940","AUD $344,940",2,2,2026-09-07T16:49:15.414109
"4145 10th Avenue S, Minneapolis, MN 55407","AUD $277,061","AUD $277,061",1,1,2026-09-07T16:49:15.414176
"16411 Kingswood Drive, Lakeville, MN 55044","AUD $1,038,839","AUD $1,038,839",5,5,2026-09-07T16:49:15.414244
"204 Congdon Ave, Coleraine, MN 55722","AUD $338,014","AUD $338,014",3,2,2026-09-07T16:49:15.414311
"520 Edmund Ave, Saint Paul, MN 55103","AUD $148,227","AUD $148,227",3,1,2026-09-07T16:49:15.414379
"2117 18 1/2 Street NW, Rochester, MN 55901","AUD $408,664","AUD $408,664",3,2,2026-09-07T16:49:15.414448
"10422 Decatur Avenue S, Bloomington, MN 55438","AUD $408,664","AUD $408,664",2,2,2026-09-07T16:49:15.414528
"2311 Seurer Street, Elko New Market, MN 55054","AUD $747,925","AUD $747,925",4,3,2026-09-07T16:49:15.414598
